Country,gold_medals,silver_medals,bronze_medals,total_medals
United States of America,41,27,27,95
Sweden,19,20,25,64
Belgium,16,12,14,42
Finland,15,10,9,34
Great Britain,14,16,13,43
Italy,14,6,5,25
Norway,13,10,9,32
France,9,20,13,42
Netherlands,4,2,5,11
Denmark,3,9,1,13
South Africa,3,4,3,10
Canada,3,3,3,9
Switzerland,2,2,7,11
Estonia,1,2,0,3
Brazil,1,1,1,3
Australia,0,2,1,3
Spain,0,2,0,2
Japan,0,2,0,2
Greece,0,1,0,1
Luxembourg,0,1,0,1
Czechoslovakia,0,0,2,2
New Zealand,0,0,1,1
