Country,gold_medals,silver_medals,bronze_medals,total_medals
Germany,38,31,32,101
United States of America,24,21,12,57
Hungary,10,1,5,16
Italy,9,13,5,27
Finland,8,6,6,20
France,7,6,6,19
Sweden,6,5,10,21
Japan,6,4,10,20
Netherlands,6,4,7,17
Austria,5,7,5,17
Switzerland,4,9,5,18
Great Britain,4,7,3,14
Czechoslovakia,3,5,1,9
Argentina,2,2,3,7
Estonia,2,2,3,7
Egypt,2,1,2,5
Canada,1,3,5,9
Norway,1,3,2,6
Turkey,1,0,1,2
New Zealand,1,0,0,1
India,1,0,0,1
Poland,0,4,5,9
Denmark,0,2,3,5
Latvia,0,1,1,2
Romania,0,1,0,1
South Africa,0,1,0,1
Yugoslavia,0,1,0,1
Belgium,0,0,3,3
Mexico,0,0,3,3
Portugal,0,0,1,1
Philippines,0,0,1,1
Australia,0,0,1,1
