Country,gold_medals,silver_medals,bronze_medals,total_medals
United States of America,38,27,19,84
Sweden,17,11,18,46
France,11,6,15,32
Finland,10,8,6,24
Hungary,10,5,13,28
Italy,9,12,10,31
Turkey,6,4,2,12
Czechoslovakia,6,2,3,11
Switzerland,5,12,6,23
Denmark,5,8,9,22
Netherlands,5,2,9,16
Great Britain,4,16,7,27
Argentina,3,3,1,7
Australia,2,6,5,13
Austria,2,2,4,8
Belgium,2,2,3,7
South Africa,2,2,2,6
Egypt,2,2,1,5
Mexico,2,1,2,5
Norway,1,3,3,7
Jamaica,1,2,0,3
Poland,1,0,1,2
Peru,1,0,0,1
India,1,0,0,1
Canada,0,2,2,4
Yugoslavia,0,2,0,2
Portugal,0,1,1,2
Uruguay,0,1,1,2
Trinidad and Tobago,0,1,0,1
Spain,0,1,0,1
Sri Lanka,0,1,0,1
Cuba,0,1,0,1
Republic of Korea,0,0,2,2
Panama,0,0,2,2
Brazil,0,0,1,1
Islamic Republic of Iran,0,0,1,1
Puerto Rico,0,0,1,1
Ireland,0,0,1,1
