Country,gold_medals,silver_medals,bronze_medals,total_medals
Soviet Union,43,29,31,103
United States of America,34,21,16,71
Italy,13,10,13,36
Germany,12,19,11,42
Australia,8,8,6,22
Turkey,7,2,0,9
Hungary,6,8,7,21
Japan,4,7,7,18
Poland,4,6,11,21
Czechoslovakia,3,2,3,8
Romania,3,1,6,10
Great Britain,2,6,12,20
Denmark,2,3,1,6
New Zealand,2,0,1,3
Bulgaria,1,3,3,7
Sweden,1,2,3,6
Finland,1,1,3,5
Yugoslavia,1,1,0,2
Austria,1,1,0,2
Pakistan,1,0,1,2
Ethiopia,1,0,0,1
Greece,1,0,0,1
Norway,1,0,0,1
Switzerland,0,3,3,6
France,0,2,3,5
Belgium,0,2,2,4
Islamic Republic of Iran,0,1,3,4
South Africa,0,1,2,3
Netherlands,0,1,2,3
Argentina,0,1,1,2
United Arab Republic,0,1,1,2
Ghana,0,1,0,1
India,0,1,0,1
Morocco,0,1,0,1
Canada,0,1,0,1
Chinese Taipei,0,1,0,1
Portugal,0,1,0,1
Singapore,0,1,0,1
West Indies Federation,0,0,2,2
Brazil,0,0,2,2
Iraq,0,0,1,1
Venezuela,0,0,1,1
Spain,0,0,1,1
Mexico,0,0,1,1
