Country,gold_medals,silver_medals,bronze_medals,total_medals
Soviet Union,55,31,46,132
German Democratic Republic (Germany),37,35,30,102
United States of America,36,31,27,94
Republic of Korea,12,10,11,33
Federal Republic of Germany,11,14,15,40
Hungary,11,6,6,23
Bulgaria,10,12,13,35
Romania,7,11,6,24
France,6,4,6,16
Italy,6,4,4,14
People's Republic of China,5,11,12,28
Great Britain,5,10,9,24
Kenya,5,2,2,9
Japan,4,3,7,14
Australia,3,6,5,14
Yugoslavia,3,4,5,12
Czechoslovakia,3,3,2,8
New Zealand,3,2,8,13
Canada,3,2,5,10
Poland,2,5,9,16
Norway,2,3,0,5
Netherlands,2,2,5,9
Denmark,2,1,1,4
Brazil,1,2,3,6
Spain,1,1,2,4
Finland,1,1,2,4
Turkey,1,1,0,2
Morocco,1,0,2,3
Suriname,1,0,0,1
Portugal,1,0,0,1
Austria,1,0,0,1
Sweden,0,4,7,11
Switzerland,0,2,2,4
Jamaica,0,2,0,2
Argentina,0,1,1,2
Peru,0,1,0,1
"Virgin Islands, US",0,1,0,1
Senegal,0,1,0,1
Indonesia,0,1,0,1
Costa Rica,0,1,0,1
Islamic Republic of Iran,0,1,0,1
Netherlands Antilles,0,1,0,1
Chile,0,1,0,1
Mexico,0,0,2,2
Belgium,0,0,2,2
Mongolia,0,0,1,1
Philippines,0,0,1,1
Greece,0,0,1,1
Thailand,0,0,1,1
Colombia,0,0,1,1
Djibouti,0,0,1,1
Pakistan,0,0,1,1
