Country,gold_medals,silver_medals,bronze_medals,total_medals
United States of America,36,26,28,90
Soviet Union,30,31,35,96
Japan,16,5,8,29
Germany,10,22,18,50
Italy,10,10,7,27
Hungary,10,7,5,22
Poland,7,6,10,23
Australia,6,2,10,18
Czechoslovakia,5,6,3,14
Great Britain,4,12,2,18
Bulgaria,3,5,2,10
New Zealand,3,0,2,5
Finland,3,0,2,5
Romania,2,4,6,12
Netherlands,2,4,4,10
Turkey,2,3,1,6
Sweden,2,2,4,8
Denmark,2,1,3,6
Yugoslavia,2,1,2,5
Belgium,2,0,1,3
France,1,8,6,15
Switzerland,1,2,1,4
Canada,1,2,1,4
Ethiopia,1,0,0,1
India,1,0,0,1
Bahamas,1,0,0,1
Republic of Korea,0,2,1,3
Trinidad and Tobago,0,1,2,3
Tunisia,0,1,1,2
Philippines,0,1,0,1
Pakistan,0,1,0,1
Cuba,0,1,0,1
Argentina,0,1,0,1
Islamic Republic of Iran,0,0,2,2
Ireland,0,0,1,1
Kenya,0,0,1,1
Uruguay,0,0,1,1
Ghana,0,0,1,1
Nigeria,0,0,1,1
Brazil,0,0,1,1
Mexico,0,0,1,1
