Country,gold_medals,silver_medals,bronze_medals,total_medals
Germany,10,10,6,26
Unified Team,9,6,8,23
Norway,9,6,5,20
Austria,6,7,8,21
United States of America,5,4,2,11
Italy,4,6,4,14
France,3,5,1,9
Finland,3,1,3,7
Canada,2,3,2,7
Republic of Korea,2,1,1,4
Japan,1,2,4,7
Netherlands,1,1,2,4
Sweden,1,0,3,4
Switzerland,1,0,2,3
People's Republic of China,0,3,0,3
Luxembourg,0,2,0,2
New Zealand,0,1,0,1
Czechoslovakia,0,0,3,3
Spain,0,0,1,1
Democratic People's Republic of Korea,0,0,1,1
