Country,gold_medals,silver_medals,bronze_medals,total_medals
Soviet Union,11,9,9,29
German Democratic Republic (Germany),9,10,6,25
Switzerland,5,5,5,15
Finland,4,1,2,7
Sweden,4,0,2,6
Austria,3,5,2,10
Netherlands,3,2,2,7
Federal Republic of Germany,2,4,2,8
United States of America,2,1,3,6
Italy,2,1,2,5
France,1,0,1,2
Norway,0,3,2,5
Canada,0,2,3,5
Yugoslavia,0,2,1,3
Czechoslovakia,0,1,2,3
Japan,0,0,1,1
Liechtenstein,0,0,1,1
