Country,gold_medals,silver_medals,bronze_medals,total_medals
Soviet Union,7,3,6,16
Austria,4,3,4,11
Finland,3,3,1,7
Switzerland,3,2,1,6
Sweden,2,4,4,10
United States of America,2,3,2,7
Norway,2,1,1,4
Italy,1,2,0,3
Germany,1,0,1,2
Canada,0,1,2,3
Japan,0,1,0,1
Hungary,0,0,1,1
Poland,0,0,1,1
