Country,gold_medals,silver_medals,bronze_medals,total_medals
Norway,6,6,2,14
Soviet Union,5,5,3,13
France,4,3,2,9
Italy,4,0,0,4
Austria,3,4,4,11
Netherlands,3,3,3,9
Sweden,3,2,3,8
Federal Republic of Germany,2,2,3,7
United States of America,1,5,1,7
German Democratic Republic (Germany),1,2,2,5
Finland,1,2,2,5
Czechoslovakia,1,2,1,4
Canada,1,1,1,3
Switzerland,0,2,4,6
Romania,0,0,1,1
