Country,gold_medals,silver_medals,bronze_medals,total_medals
Soviet Union,13,6,8,27
German Democratic Republic (Germany),7,5,7,19
United States of America,3,3,4,10
Norway,3,3,1,7
Federal Republic of Germany,2,5,3,10
Finland,2,4,1,7
Austria,2,2,2,6
Switzerland,1,3,1,5
Netherlands,1,2,3,6
Italy,1,2,1,4
Canada,1,1,1,3
Great Britain,1,0,0,1
Czechoslovakia,0,1,0,1
Sweden,0,0,2,2
Liechtenstein,0,0,2,2
France,0,0,1,1
