Country,gold_medals,silver_medals,bronze_medals,total_medals
Soviet Union,10,6,6,22
German Democratic Republic (Germany),9,7,7,23
United States of America,6,4,2,12
Austria,3,2,2,7
Sweden,3,0,1,4
Liechtenstein,2,2,0,4
Finland,1,5,3,9
Norway,1,3,6,10
Netherlands,1,2,1,4
Switzerland,1,1,3,5
Great Britain,1,0,0,1
Federal Republic of Germany,0,2,3,5
Italy,0,2,0,2
Canada,0,1,1,2
Hungary,0,1,0,1
Japan,0,1,0,1
France,0,0,1,1
Czechoslovakia,0,0,1,1
Bulgaria,0,0,1,1
