Country,gold_medals,silver_medals,bronze_medals,total_medals
Russian Federation,11,8,4,23
Norway,10,11,5,26
Germany,9,7,8,24
Italy,7,5,8,20
United States of America,6,5,2,13
Republic of Korea,4,1,1,6
Canada,3,6,4,13
Switzerland,3,4,2,9
Austria,2,3,4,9
Sweden,2,1,0,3
Japan,1,2,2,5
Kazakhstan,1,2,0,3
Ukraine,1,0,1,2
Uzbekistan,1,0,0,1
Belarus,0,2,0,2
Finland,0,1,5,6
France,0,1,4,5
Netherlands,0,1,3,4
People's Republic of China,0,1,2,3
Slovenia,0,0,3,3
Great Britain,0,0,2,2
Australia,0,0,1,1
