Country,gold_medals,silver_medals,bronze_medals,total_medals
Germany,11,12,6,29
United States of America,9,9,7,25
Austria,9,7,7,23
Russian Federation,8,6,8,22
Canada,7,10,7,24
Sweden,7,2,5,14
Republic of Korea,6,3,2,11
Switzerland,5,4,5,14
Italy,5,0,6,11
France,3,2,4,9
Netherlands,3,2,4,9
Estonia,3,0,0,3
Norway,2,8,9,19
People's Republic of China,2,4,5,11
Czech Republic,1,2,1,4
Croatia,1,2,0,3
Australia,1,0,1,2
Japan,1,0,0,1
Finland,0,6,3,9
Poland,0,1,1,2
Great Britain,0,1,0,1
Belarus,0,1,0,1
Bulgaria,0,1,0,1
Slovakia,0,1,0,1
Ukraine,0,0,2,2
Latvia,0,0,1,1
